business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed,price_level,formatted_phone_number,formatted_address
OPERATIONAL,"{'location': {'lat': 52.0906842, 'lng': 4.2575609}, 'viewport': {'northeast': {'lat': 52.0920220302915, 'lng': 4.258932280291501}, 'southwest': {'lat': 52.0893240697085, 'lng': 4.256234319708496}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Db Scooters,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105411670084870247412"">Db Scooters</a>'], 'photo_reference': 'AeJbb3drHb3beWNPnOU7zYydMJPN3_mWIyb6pIJ48tb0hYTwgjOptgx6TqnSsVClxS7XXXZWC36w7H7Z13VYgBcDrz9SjvAziFLtXZPixKW65RZsqokyEzxwm0rUIxdHCINakkHKHe0mGiUd-WqypHyw1f0Hq5pEIijN66xzht0gxFMV9pv5', 'width': 3840}]",ChIJs9b0f-2wxUcRrYEkMVU3Rl8,"{'compound_code': '37R5+72 The Hague, Netherlands', 'global_code': '9F4637R5+72'}",5,ChIJs9b0f-2wxUcRrYEkMVU3Rl8,GOOGLE,"['car_repair', 'store', 'point_of_interest', 'establishment']",4,"Rottumsestraat 39A, Den Haag",,,06 17248477,"Rottumsestraat 39A, 2583 HH Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0940902, 'lng': 4.265321899999999}, 'viewport': {'northeast': {'lat': 52.0954248302915, 'lng': 4.266525530291502}, 'southwest': {'lat': 52.0927268697085, 'lng': 4.263827569708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,AutoruitDirect B.V.,,,ChIJc-hxmJSwxUcR0bVGEb3liss,"{'compound_code': '37V8+J4 The Hague, Netherlands', 'global_code': '9F4637V8+J4'}",,ChIJc-hxmJSwxUcR0bVGEb3liss,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",,"Doctor Lelykade 248, Den Haag",,,043 326 3539,"Doctor Lelykade 248, 2583 CP Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0960754, 'lng': 4.2646468}, 'viewport': {'northeast': {'lat': 52.0973889802915, 'lng': 4.266061880291503}, 'southwest': {'lat': 52.0946910197085, 'lng': 4.263363919708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TDSL Nederland BV,{'open_now': False},"[{'height': 618, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103326671836901841418"">TDSL Nederland BV</a>'], 'photo_reference': 'AeJbb3f67NrK8WN-n5BWJVtqjqA2dXrfaGZp_aIwDGkmjV3CjKqtIcWMNoFBTw4OiNYJrVXk_cTGoeH5qC5A9EdIB_UqbKNzjs7iJ6WbDLfk1WmQM6iBfO9u903H8NutBYa3p6wR-W7mH7OyV_MhfHPb782L_Vq9ro7EFn91zGV9Z9oqJGe9', 'width': 828}]",ChIJGW7_xv-2xUcR8hq8IMY02pA,"{'compound_code': '37W7+CV The Hague, Netherlands', 'global_code': '9F4637W7+CV'}",,ChIJGW7_xv-2xUcR8hq8IMY02pA,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",,"Hellingweg 96b, Den Haag",,,088 511 7480,"Hellingweg 96b, 2583 WH Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.090143, 'lng': 4.268643}, 'viewport': {'northeast': {'lat': 52.09153433029149, 'lng': 4.269961080291503}, 'southwest': {'lat': 52.0888363697085, 'lng': 4.267263119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Italia Auto Corse De Alfa Romeo en Fiat specialist van Den Haag,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111109861104809105860"">Italia Auto Corse De Alfa Romeo en Fiat specialist van Den Haag</a>'], 'photo_reference': 'AeJbb3fsEFLZxnomANhTuWuMkBkfYwpzJ0elolYW_WRaIwUJnPKT_giP4D91J4d6Ms8Tabw9WlLhKgDi7mL0P3lBwToeB3DF7WAq4lT2vig9deQb2a2DRg_9k2KZl-acqP2Q1N_LuTfn6j8zEC3k9-wvfSKPhDJrfXOF4Hr8Abyvdn-7ZoyB', 'width': 2048}]",ChIJ3afUX-qwxUcR9AxP6zND4UA,"{'compound_code': '37R9+3F The Hague, Netherlands', 'global_code': '9F4637R9+3F'}",4.6,ChIJ3afUX-qwxUcR9AxP6zND4UA,GOOGLE,"['car_repair', 'car_dealer', 'store', 'point_of_interest', 'establishment']",43,"Sonoystraat 90, Den Haag",,,070 354 1842,"Sonoystraat 90, 2581 VP Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0893295, 'lng': 4.2541975}, 'viewport': {'northeast': {'lat': 52.0906069802915, 'lng': 4.255677630291501}, 'southwest': {'lat': 52.0879090197085, 'lng': 4.252979669708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Biking Lane,,,ChIJzYOQ7YaxxUcRKMCQeezu2xQ,"{'compound_code': '37Q3+PM The Hague, Netherlands', 'global_code': '9F4637Q3+PM'}",,ChIJzYOQ7YaxxUcRKMCQeezu2xQ,GOOGLE,"['car_repair', 'store', 'point_of_interest', 'establishment']",,"Wieringsestraat 256, Den Haag",,,06 53818498,"Wieringsestraat 256, 2583 VG Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.089729, 'lng': 4.269097}, 'viewport': {'northeast': {'lat': 52.0911133302915, 'lng': 4.270435630291503}, 'southwest': {'lat': 52.0884153697085, 'lng': 4.267737669708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Traditional Piano Tuning,,,ChIJpfIvZOqwxUcR8DhI1dogQgY,"{'compound_code': '37Q9+VJ The Hague, Netherlands', 'global_code': '9F4637Q9+VJ'}",,ChIJpfIvZOqwxUcR8DhI1dogQgY,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",,"Ruychaverstraat 46, Den Haag",,,06 46015845,"Ruychaverstraat 46, 2581 VT Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0897273, 'lng': 4.269504}, 'viewport': {'northeast': {'lat': 52.0911332302915, 'lng': 4.270837730291503}, 'southwest': {'lat': 52.0884352697085, 'lng': 4.268139769708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Garagebedrijf J. van der Wal,,,ChIJ12ULY-qwxUcRrVuhDHBYOtg,"{'compound_code': '37Q9+VR The Hague, Netherlands', 'global_code': '9F4637Q9+VR'}",4.3,ChIJ12ULY-qwxUcRrVuhDHBYOtg,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",11,"Ruychaverstraat 11+15A, Den Haag",,,070 355 5020,"Ruychaverstraat 11+15A, 2581 VR Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0903793, 'lng': 4.2706133}, 'viewport': {'northeast': {'lat': 52.09174488029149, 'lng': 4.271957330291501}, 'southwest': {'lat': 52.08904691970849, 'lng': 4.269259369708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Automobielbedrijf Boer,{'open_now': True},"[{'height': 763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104263412415913461370"">Mike Boer</a>'], 'photo_reference': 'AeJbb3ebkWAHyE2gxqPy90BoM-67BspB-x_wGnGMvEOQ8EvgwRpEQfZCABH7K3ZDRtOKxJR9uL5rdYTmbA09BJuQ_jm2lE1qgpx_RcAtlmYslf2MR2Wj5cUAJWxJiavWNqVa5iVkX2Ac9dxgASTT4FJiBKVh3IMZ7LKi4j9of4BP40vmdrog', 'width': 1200}]",ChIJdarTK8CwxUcRoz6x2EteG30,"{'compound_code': '37RC+56 The Hague, Netherlands', 'global_code': '9F4637RC+56'}",5,ChIJdarTK8CwxUcRoz6x2EteG30,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",6,"Sonoystraat 8-10, Den Haag",,,070 365 5944,"Sonoystraat 8-10, 2581 VL Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0961579, 'lng': 4.2733738}, 'viewport': {'northeast': {'lat': 52.0974627802915, 'lng': 4.274778380291502}, 'southwest': {'lat': 52.09476481970851, 'lng': 4.272080419708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bentinck Garage,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111857292854688040834"">KISS marketing &amp; sales</a>'], 'photo_reference': 'AeJbb3c1M_xIfong1uigT_-AX9cOZ1BMGr8WKRaSct_3uCmFO3mCBjUrSTkQ17l1NC9jbcDZwyj8Z6J7-mK6-kzRM1FCHaSskQ58ejKqpjcT34KrVnzoq0GjWz3vucziYOm_bTeTZCCKVZ-kOZumXg4xN4x6HIC-9NqOvtwjXdQ2daykny86', 'width': 5184}]",ChIJKUvIRb6wxUcRIczLJn_5_bI,"{'compound_code': '37WF+F8 The Hague, Netherlands', 'global_code': '9F4637WF+F8'}",4.3,ChIJKUvIRb6wxUcRIczLJn_5_bI,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",46,"Frankenstraat 61, 63a, Den Haag",,,070 355 6048,"Frankenstraat 61, 63a, 2582 SH Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.10303449999999, 'lng': 4.2691402}, 'viewport': {'northeast': {'lat': 52.10441033029149, 'lng': 4.270528580291503}, 'southwest': {'lat': 52.10171236970849, 'lng': 4.267830619708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,The Panel & Paint Shop V.O.F.,,,ChIJCVxCgpewxUcRyJvSIDzm9w8,"{'compound_code': '4739+6M The Hague, Netherlands', 'global_code': '9F464739+6M'}",4.8,ChIJCVxCgpewxUcRyJvSIDzm9w8,GOOGLE,"['point_of_interest', 'car_repair', 'establishment']",9,"Korbootstraat 3-B, Den Haag",,,070 358 7177,"Korbootstraat 3-B, 2583 CT Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.1009353, 'lng': 4.2743305}, 'viewport': {'northeast': {'lat': 52.1022460302915, 'lng': 4.275771680291502}, 'southwest': {'lat': 52.0995480697085, 'lng': 4.273073719708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Personalised4You,,"[{'height': 900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117294094241159727038"">Personalised4You</a>'], 'photo_reference': 'AeJbb3caqURT_dVrLee2vSawZ5SiWrYCi28yFGyPrfH9ifJPE7XS5rehbNBmYkNci-aXeoevwODzf942SCYaY9nCf_pB0YutjVPnKelLL2pQIraEsIee97qIb9SP5f43-lir-CnyMFFfRXnoDW7qHTyZnRLdJ8C5KjceUSkWywpANNhWXPQC', 'width': 1440}]",ChIJKaXVMgi6xUcRDQyO3ioM1fM,"{'compound_code': '472F+9P The Hague, Netherlands', 'global_code': '9F46472F+9P'}",,ChIJKaXVMgi6xUcRDQyO3ioM1fM,GOOGLE,"['point_of_interest', 'car_repair', 'establishment']",,"Westduinweg 1293, 1305, Den Haag",,,085 060 8213,"Westduinweg 1293, 1305, 2583 AW Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.1055226, 'lng': 4.2794276}, 'viewport': {'northeast': {'lat': 52.1068704302915, 'lng': 4.280689180291501}, 'southwest': {'lat': 52.1041724697085, 'lng': 4.277991219708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Roll-In,,,ChIJWS6JgaSwxUcRrJ2_i7Hmkcs,"{'compound_code': '474H+6Q The Hague, Netherlands', 'global_code': '9F46474H+6Q'}",4.8,ChIJWS6JgaSwxUcRrJ2_i7Hmkcs,GOOGLE,"['point_of_interest', 'car_repair', 'establishment']",12,"Badhuisstraat 32, Den Haag",,,06 23625443,"Badhuisstraat 32, 2584 HK Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.10234779999999, 'lng': 4.2762278}, 'viewport': {'northeast': {'lat': 52.10367403029149, 'lng': 4.277459630291503}, 'southwest': {'lat': 52.10097606970849, 'lng': 4.274761669708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Amicale Facel Holland B.V.,,,ChIJKWtl27ywxUcRHWLpryE1MwM,"{'compound_code': '472G+WF The Hague, Netherlands', 'global_code': '9F46472G+WF'}",,ChIJKWtl27ywxUcRHWLpryE1MwM,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",,"Zwaardstraat 16, Den Haag",,,070 324 8084,"Zwaardstraat 16, 2584 TX Den Haag, Netherlands"
