company_name,Street_Address,City_Address,Telephone,email,websiteurl,ul,tags
BoschCarService Thomson B.V.,Populierstraat 66 ,2565 ML 's-Gravenhage,070-3633946,bosch@bcsthomson.nl,www.bcsthomson.nl,https://www.bovag.nl/Leden/BoschCarService-Thomson-B-V,[]
Binnenstadgarage,Meteoorstraat 85 ,2516 BP 's-Gravenhage,070-3852700,bg.denhaag@gmail.com,www.binnenstadgarage-denhaag.nl,https://www.bovag.nl/Leden/Binnenstadgarage,[]
Stern 3F Den Haag,Mercuriusweg 9 ,2516 AW 's-Gravenhage,070-3041400,Info@stern.nl,www.stern.nl,https://www.bovag.nl/Leden/Stern-3F-Den-Haag,[]
SternRent,Mercuriusweg 9 ,2516 AW 's-Gravenhage,070-3820609,denhaag@sternrent.nl,www.sternrent.nl,https://www.bovag.nl/Leden/SternRent-(5),[]
V.O.F. Autobedrijf Wieringa,Balistraat 53 ,2585 XM 's-Gravenhage,070-3462686,info@mazda-wieringa.nl,www.autobedrijfwieringa.nl,https://www.bovag.nl/Leden/V-O-F-Autobedrijf-Wieringa,[]
British Car-Service B.V.,Oude Haagweg 791 ,2552 GR 's-Gravenhage,070-3256296,garage-bcs@outlook.com,,https://www.bovag.nl/Leden/British-Car-Service-B-V,[]
Autoschadehuis Den Haag,Mercuriusweg 15 ,2516 AW 's-Gravenhage,070-3810391,denhaag@autoschadehuis.nl,www.autoschadehuis.nl,https://www.bovag.nl/Leden/Autoschadehuis-Den-Haag,[]
Auto Haagstad B.V.,Mercuriusweg 15 a,2516 AW 's-Gravenhage,070-3040110,info@haagstad.nl,www.haagstad.nl,https://www.bovag.nl/Leden/Auto-Haagstad-B-V,[]
ASN Autoschade Service van Vreden-Binckhorst,Binckhorstlaan 50 ,2516 BE 's-Gravenhage,070-3820830,vanvreden-binckhorst@asnmail.nl,www.asndenhaag.nl,https://www.bovag.nl/Leden/ASN-Autoschade-Service-van-Vreden-Binckhorst,[]
Köhler Autoverhuur B.V.,Binckhorstlaan 130 ,2516 BE 's-Gravenhage,070-3809094,kohler@kohler.nl,www.kohler.nl,https://www.bovag.nl/Leden/Kohler-Autoverhuur-B-V,[]
B. Kerkhof & Zn. B.V.,Binckhorstlaan 100 ,2516 BE 's-Gravenhage,070-3473504,info@kerkhof.com,www.kerkhof.com,https://www.bovag.nl/Leden/B-Kerkhof-Zn-B-V,[]
Motorhuis Den Haag,Binckhorstlaan 125 ,2516 BA 's-Gravenhage,070 - 381 03 81,denhaag@motorhuis.nl,www.motorhuis.nl,https://www.bovag.nl/Leden/Motorhuis-Den-Haag,[]
International Car Cleaning Pitlo B.V.,Mercuriusweg 18 ,2516 AW 's-Gravenhage,070-3838321,info@altoicc.nl,www.altoicc.nl,https://www.bovag.nl/Leden/International-Car-Cleaning-Pitlo-B-V,[]
Sneeuwbalgarage B.V.,Goudenregenstraat 194 ,2565 GC 's-Gravenhage,070-3452137,werkplaats@sneeuwbal.nl,,https://www.bovag.nl/Leden/Sneeuwbalgarage-B-V,[]
B.V. Sneeuwbalgarage,Sneeuwbalstraat 138 A,2565 WG 's-Gravenhage,070-3452137,info@sneeuwbal.nl,www.sneeuwbal.nl,https://www.bovag.nl/Leden/B-V-Sneeuwbalgarage,[]
Autobedrijf Curver,Antonie Duyckstraat 36 ,2582 TL 's-Gravenhage,703542700,verkoop@autobedrijfcurvers.nl,www.autobedrijfcurvers.nl,https://www.bovag.nl/Leden/Autobedrijf-Curver,[]
De Roode Scooters,Loevesteinlaan 464 ,2533 CG 's-Gravenhage,070-3966666,info@deroodescooters.nl,www.deroodescooters.nl,https://www.bovag.nl/Leden/De-Roode-Scooters,[]
Europcar Autoverhuur,Binckhorstlaan 297 ,2516 BC 's-Gravenhage,070-3811811,security@europcar.nl,www.europcar.nl,https://www.bovag.nl/Leden/Europcar-Autoverhuur,[]
Achilles Brandstoffen Maatschappij B.V.,Binckhorstlaan 297 ,2516 BC 's-Gravenhage,070-3811822,info@abmy.nl,www.abmy.nl,https://www.bovag.nl/Leden/Achilles-Brandstoffen-Maatschappij-B-V,[]
Rijwielhandel Claassen,Pippelingstraat 30 ,2564 RH 's-Gravenhage,070-3682680,info@tweewielerspecialist.nl,www.tweewielerspecialist.nl,https://www.bovag.nl/Leden/Rijwielhandel-Claassen,[]
Automobielbedrijf Franke,Van Bleiswijkstraat 68 ,2582 LG 's-Gravenhage,070-3552233,info@franke-lancia.nl,www.franke-lancia.nl,https://www.bovag.nl/Leden/Automobielbedrijf-Franke,[]
Canadian Summer B.V.,Zonweg 32 ,2516 BM 's-Gravenhage,070-3817501,info@cabrioland.nl,www.cabrioland.nl,https://www.bovag.nl/Leden/Canadian-Summer-B-V,[]
Korteland Auto's & Onderdelen B.V.,Oranjelaan 42 ,2281 GE Rijswijk ZH,070-3902900,info@kortelandautos.nl,www.kortelandautos.nl,https://www.bovag.nl/Leden/Korteland-Auto-s-Onderdelen-B-V,[]
JUIZZ B.V.,Ln van Nieuw-Oost-Indie 108 ,2593 BZ 's-Gravenhage,070-3040774,denhaag@juizz.nl,www.juizz.nl,https://www.bovag.nl/Leden/JUIZZ-B-V-(1),[]
Rijwielhandel Energie,Sadeestraat 31 ,2596 XB 's-Gravenhage,070-3248473,sreitsma.adm@gmail.com,www.energiefietsen.nl,https://www.bovag.nl/Leden/Rijwielhandel-Energie,[]
Zeeuw & Zeeuw Nissan Den Haag,Grote Beerstraat 35 ,2516 BZ 's-Gravenhage,070-7504604,verkoop.nissan-denhaag@zeeuwenzeeuw.nl,www.zeeuwenzeeuw.nl,https://www.bovag.nl/Leden/Zeeuw-Zeeuw-Nissan-Den-Haag,[]
Zeeuw & Zeeuw Renault Den Haag Binckhorst,Zonweg 60 ,2516 BM 's-Gravenhage,070-3643830,verkoop.renault-denhaag@zeeuwenzeeuw.nl,www.zeeuwenzeeuw.nl,https://www.bovag.nl/Leden/Zeeuw-Zeeuw-Renault-Den-Haag-Binckhorst,[]
Avis Autoverhuur B.V.,Theresiastraat 216 ,2593 AV 's-Gravenhage,088-2847000,denhaag@avis.nl,www.avis.nl,https://www.bovag.nl/Leden/Avis-Autoverhuur-B-V-(1),[]
Autobedr. Humaro,Zonweg 65 ,2516 AK 's-Gravenhage,070-3814816,humaro@planet.nl,,https://www.bovag.nl/Leden/Autobedr-Humaro,[]
ABS Den Elzen Den Haag,Saturnusstraat 30 ,2516 AH 's-Gravenhage,070-3474741,denhaag@denelzen.nl,www.denelzen.nl,https://www.bovag.nl/Leden/ABS-Den-Elzen-Den-Haag,[]
Wittebrug,Laan van Nieuw Oosteinde 293 ,2273 KZ Voorburg,070-3868444,rvandewatering@wittebrug.nl,www.wittebrug.nl,https://www.bovag.nl/Leden/Wittebrug-(2),[]
Autocenter Van Maanen,Joan Maetsuyckerstraat 94 ,2593 ZM 's-Gravenhage,070-3478110,info@bcsvanmaanen.nl,www.bcsvanmaanen.nl,https://www.bovag.nl/Leden/Autocenter-Van-Maanen,[]
F.Zandstra & Kinderen,Maanweg 80 ,2516 AA 's-Gravenhage,070-3681575,marcia@moerkerkzandstra.nl,www.moerkerkzandstra.nl,https://www.bovag.nl/Leden/F-Zandstra-Kinderen,[]
TotalEnergies Marketing Nederland NV,Bezuidenhoutseweg 273 ,2594 AN 's-Gravenhage,070 3180 480,arend.esser@totalenergies.com,https://services.totalenergies.nl/,https://www.bovag.nl/Leden/TotalEnergies-Marketing-Nederland-NV,[]
Automobielbedrijf Van Asch,Sibergstraat 7 ,2593 SL 's-Gravenhage,070-3858201,info@vanasch.com,www.vanasch.com,https://www.bovag.nl/Leden/Automobielbedrijf-Van-Asch,[]
Bentinck Garage,Frankenstraat 61 ,2582 SH 's-Gravenhage,070-3556048,bentinckgar@hetnet.nl,www.bentinckgarage.nl,https://www.bovag.nl/Leden/Bentinck-Garage,[]
Van Gils Automobielen B.V.,Kerketuinenweg 4 ,2544 CW 's-Gravenhage,070-3474035,info@vangilsautomobielen.nl,www.vangilsautomobielen.nl,https://www.bovag.nl/Leden/Van-Gils-Automobielen-B-V,[]
Auto Citrus,Sinaasappelstraat 179 ,2564 EP 's-Gravenhage,070-3239511,info@autocitrus.com,www.autocitrus.nl,https://www.bovag.nl/Leden/Auto-Citrus,[]
Automobielbedrijf Roberts Kerketuinen BV,Kerketuinenweg 15 ,2544 CV 's-Gravenhage,070-4120120,sales@robertsbv.nl,www.robertsbv.nl,https://www.bovag.nl/Leden/Automobielbedrijf-Roberts-Kerketuinen-BV,[]
Zeeuw & Zeeuw Kia Den Haag,Goudlaan 4 ,2544 EG 's-Gravenhage,070-3666100,verkoop.kia-denhaag@zeeuwenzeeuw.nl,www.zeeuwenzeeuw.nl,https://www.bovag.nl/Leden/Zeeuw-Zeeuw-Kia-Den-Haag,[]
The Mechanic,Van Leijdenstraat 2 C,2274 AW Voorburg,070 8209890,info@themechanic.nl,www.themechanic.nl,https://www.bovag.nl/Leden/The-Mechanic,[]
Van Herwerden Wielersport B.V.,Laan van Nieuw Oosteinde 100 ,2274 EK Voorburg,070-3861719,info@vanherwerden.nl,www.vanherwerden.nl,https://www.bovag.nl/Leden/Van-Herwerden-Wielersport-B-V,[]
Louwman Dealerbedrijven - Louwman Den Haag Zuid,Kerketuinenweg 16 ,2544 CW 's-Gravenhage,070-3677466,toyota.denhaagzuid@louwman.nl,https://www.louwman.nl/autobedrijven/louwman-toyota-den-haag-zuid,https://www.bovag.nl/Leden/Louwman-Dealerbedrijven-Louwman-Den-Haag-Zuid,[]
R. van Dijk Garage,Zilverstraat 54 ,2544 EL 's-Gravenhage,070-3663070,ronald@dijkgarage.nl,www.dijkgarage.nl,https://www.bovag.nl/Leden/R-van-Dijk-Garage,[]
DAVO Den Haag Kerketuinen,Kerketuinenweg 18 ,2544 CW 's-Gravenhage,070-8502500,info@peugeotdavo.nl,www.peugeotdavo.nl,https://www.bovag.nl/Leden/DAVO-Den-Haag-Kerketuinen,[]
Helm Garage,Zilverstraat 45 ,2544 EJ 's-Gravenhage,070-3460315,info@helmgarage.nl,www.helmgarage.nl,https://www.bovag.nl/Leden/Helm-Garage,[]
Autobedr. Van der Byl Den Haag B.V.,Nijverheidsstraat 102 ,2288 BB Rijswijk ZH,070-3658766,info@autobedrijfvanderbijl.nl,www.autobedrijfvanderbijl.nl,https://www.bovag.nl/Leden/Autobedr-Van-der-Byl-Den-Haag-B-V,[]
Autotechniek Nieuwenhuijsen,Cobbenhagenstraat 2 ,2288 ET Rijswijk ZH,070-3903554,info@autoservicenieuwenhuijsen.nl,www.autoservicenieuwenhuijsen.nl,https://www.bovag.nl/Leden/Autotechniek-Nieuwenhuijsen,[]
Yanik Auto Service,Zilverstraat 80 ,2544 EL 's-Gravenhage,070-3599270,info@yanik.nl,www.yanik.nl,https://www.bovag.nl/Leden/Yanik-Auto-Service,[]
Autobedrijf Cees de Jong,Zeesluisweg 115 ,2583 DP 's-Gravenhage,070-3550478,info@garagedejong.nl,www.garagedejong.nl,https://www.bovag.nl/Leden/Autobedrijf-Cees-de-Jong,[]
Europcar Autoverhuur BV,De Savornin Lohmanplein 5 ,2566 AA 's-Gravenhage,070-3619191,reserveringen@europcar.nl,www.europcar.nl,https://www.bovag.nl/Leden/Europcar-Autoverhuur-BV-(2),[]
Auto West BV,De Savornin Lohmanplein 5 ,2566 AA 's-Gravenhage,070-3619110,info@abmy.nl,https://avia.nl/avia-leden/achilles-brandstoffen-maatschappij,https://www.bovag.nl/Leden/Auto-West-BV,[]
Waaijenberg Mobiliteit B.V.,De Savornin Lohmanplein 5 ,2566 AA 's-Gravenhage,070-3256505,info@waaijenberg.com,www.waaijenberg.nl,https://www.bovag.nl/Leden/Waaijenberg-Mobiliteit-B-V,[]
McWash Plaspoelpolder B.V.,Treubstraat 33 ,2288 EH Rijswijk ZH,070-3473504,info@mcwash.nl,www.mcwash.nl,https://www.bovag.nl/Leden/McWash-Plaspoelpolder-B-V,[]
CMD Automotive,Chroomstraat 6 ,2544 EX 's-Gravenhage,070-7830070,info@cmdautomotive.nl,www.cmdautomotive.nl,https://www.bovag.nl/Leden/CMD-Automotive,[]
Profile van Ruiten,Minister Talmalaan 1 ,2285 EB Rijswijk ZH,070-3941470,administratie@profilevanruiten.nl,www.profilevanruiten.nl,https://www.bovag.nl/Leden/Profile-van-Ruiten,[]
Verkeersschool De Ridder B.V.,Badhuisstraat 169 ,2584 HH 's-Gravenhage,070-3552554,info@verkeersschoolderidder.nl,www.verkeersschoolderidder.nl,https://www.bovag.nl/Leden/Verkeersschool-De-Ridder-B-V,[]
Zeeuw & Zeeuw Renault Kerketuinen,Kerketuinenweg 26 A,2544 CW 's-Gravenhage,070 388 99 99,info.occasions-denhaag@zeeuwenzeeuw.nl,www.zeeuwenzeeuw.nl,https://www.bovag.nl/Leden/Zeeuw-Zeeuw-Renault-Kerketuinen,[]
Garage Drive On,Buitentuinen 3 ,2551 VW 's-Gravenhage,070-3975196,contact@garage-drive-on.nl,www.garage-drive-on.nl,https://www.bovag.nl/Leden/Garage-Drive-On,[]
Profile Henze Rijswijk BV,Verrijn Stuartlaan 44 ,2288 EN Rijswijk ZH,070-3995050,rijswijk@profile.nl,https://www.profile.nl/vestigingen/rijswijk/verrijn-stuartlaan-44,https://www.bovag.nl/Leden/Profile-Henze-Rijswijk-BV,[]
Wittebrug Autoschade B.V.,Zilverstraat 140 ,2544 EL 's-Gravenhage,070-3091290,schade@wittebrug.nl,https://wittebrugautoschade.nl/,https://www.bovag.nl/Leden/Wittebrug-Autoschade-B-V,[]
Auto Witte B.V.,Snellerstraat 1 ,2288 GL Rijswijk ZH,070-3999648,info@autowitte.nl,www.autowitte.nl,https://www.bovag.nl/Leden/Auto-Witte-B-V,[]
TRC Motors,Verrijn Stuartlaan 50 a,2288 EP Rijswijk ZH,070-3993242,trc@xs4all.nl,www.trcmotors.nl,https://www.bovag.nl/Leden/TRC-Motors,[]
Quist Tweewielers,Badhuisstraat 105 ,2584 HE 's-Gravenhage,070-3555562,info@profile-quist.nl,www.profile-quist.nl,https://www.bovag.nl/Leden/Quist-Tweewielers,[]
ANWB Rijopleidingen de Kleijnen / ARHL b.v.,Diepenhorstlaan 13 ,2288 EW Rijswijk ZH,070-3830473,mark@arhl-haaglanden.nl,https://www.anwb.nl/auto/rijbewijs/rijschool-rijswijk,https://www.bovag.nl/Leden/ANWB-Rijopleidingen-de-Kleijnen-ARHL-b-v,[]
RR Autoservice,Mangaanstraat 34 ,2544 DW 's-Gravenhage,070-3097030,info@rrautoservice.com,,https://www.bovag.nl/Leden/RR-Autoservice,[]
Wittebrug,Kerketuinenweg 36 ,2544 CW 's-Gravenhage,070-3082000,info@wittebrug.nl,www.wittebrug.nl,https://www.bovag.nl/Leden/Wittebrug-(3),[]
Autoservice Kuipers Scheveningen B.V.,Verseveldtweg 24 ,2597 NN 's-Gravenhage,070 - 354 54 71,info@autokuipers.nl,www.autokuipers.nl,https://www.bovag.nl/Leden/Autoservice-Kuipers-Scheveningen-B-V,[]
ANAC Carwash B.V.,Prinses Beatrixlaan 975 ,2284 BK Rijswijk ZH,070-3941097,info@anaccarwash.com,www.anaccarwash.com,https://www.bovag.nl/Leden/ANAC-Carwash-B-V-(2),[]
Motorhuis Kerketuinen,Kerketuinenweg 70 ,2544 CW 's-Gravenhage,070-3098980,kerketuinen@motorhuis.nl,www.motorhuis.nl,https://www.bovag.nl/Leden/Motorhuis-Kerketuinen,[]
Autobedrijf Houtwijk Den Haag BV,Zichtenburglaan 82 ,2544 EB 's-Gravenhage,070-3295051,peter@autohoutwijk.nl,www.autohoutwijk.nl,https://www.bovag.nl/Leden/Autobedrijf-Houtwijk-Den-Haag-BV,[]
Van Herwerden Tweewielers B.V.,Parkweg 75 -79,2271 AG Voorburg,070-8200028,parkweg@vanherwerden.nl,www.vanherwerden-parkweg.nl,https://www.bovag.nl/Leden/Van-Herwerden-Tweewielers-B-V,[]
Verlaan & van de Velde V.O.F.,Parkweg 74 C,2271 AM Voorburg,070-3867590,info@bcstuynder.nl,www.garagetuynder.nl,https://www.bovag.nl/Leden/Verlaan-van-de-Velde-V-O-F,[]
Autocenter Van Paassen C.V.,Spoorlaan 1 A,2495 AL 's-Gravenhage,070-3989419,info@autocenter-vanpaassen.nl,www.autocenter-vanpaassen.nl,https://www.bovag.nl/Leden/Autocenter-Van-Paassen-C-V,[]
Zeeuw & Zeeuw Kia Voorburg,Reuvenslaan 1 A,2273 GL Voorburg,070 - 386 32 01,verkoop.kia-voorburg@zeeuwenzeeuw.nl,www.zeeuwenzeeuw.nl,https://www.bovag.nl/Leden/Zeeuw-Zeeuw-Kia-Voorburg,[]
Rijschool Actief,Mexicosingel 69 ,2548 HB 's-Gravenhage,010-4781478,info@autorijschoolactief.nl,www.autorijschoolactief.nl,https://www.bovag.nl/Leden/Rijschool-Actief-(1),[]
Automobielbedrijf Biezeman,Zwolsestraat 265 ,2587 VD 's-Gravenhage,070-3512513,info@biezeman.nl,www.biezeman.nl,https://www.bovag.nl/Leden/Automobielbedrijf-Biezeman,[]
Claushuis Groep,Dekkershoek 127 -131,2552 DD 's-Gravenhage,070-3977678,info@claushuisgroep.nl,www.claushuisgroep.nl,https://www.bovag.nl/Leden/Claushuis-Groep,[]
Bert's Wielershop,Arnold Spoelstraat 96 ,2553 CN 's-Gravenhage,070-3661010,info@bertswielershop.nl,www.bertswielershop.nl,https://www.bovag.nl/Leden/Bert-s-Wielershop,[]
Garage Kortekaas,Margaretha v Hennebergwg 61 ,2552 BD 's-Gravenhage,070-3977244,info@garagekortekaas.nl,www.garagekortekaas.nl,https://www.bovag.nl/Leden/Garage-Kortekaas,[]
McWash Autowascentrum B.V.,De Werf 44 ,2544 EK 's-Gravenhage,070-3080442,info@mcwash.nl,www.mcwash.nl,https://www.bovag.nl/Leden/McWash-Autowascentrum-B-V,[]
Autotaalglas Den Haag,Margaretha v Hennebergwg 65 B,2552 BD 's-Gravenhage,070-3616710,atg-denhaag@xs4all.nl,www.autotaalglas.nl,https://www.bovag.nl/Leden/Autotaalglas-Den-Haag,[]
Garage Van Ooijen,Noordweg 4 ,2291 EE Wateringen,0174-292300,info@garagevanooijen.nl,www.garagevanooijen.nl,https://www.bovag.nl/Leden/Garage-Van-Ooijen,[]
Auto Ruiter V.O.F.,Oosteinde 21 ,2291 AA Wateringen,0174-297161,info@auto-ruiter.nl,www.autoruiter.nl,https://www.bovag.nl/Leden/Auto-Ruiter-V-O-F,[]
Auto Westland B.V.,Willem III Straat 15 ,2291 TL Wateringen,0174-293010,wateringen@profile.nl,www.autowestland.nl,https://www.bovag.nl/Leden/Auto-Westland-B-V,[]
GIJS Automotive,Willem III Straat 17 ,2291 TL Wateringen,0174-768049,info@gijsautomotive.nl,www.gijsautomotive.nl,https://www.bovag.nl/Leden/GIJS-Automotive,[]
Vakgarage Rene Blankenstein,Laan van Waalhaven 223 ,2497 GL 's-Gravenhage,070-4154480,welkom@rb-vakgarage.nl,www.vakgaragereneblankenstein.nl,https://www.bovag.nl/Leden/Vakgarage-Rene-Blankenstein,[]
DAVO Hyundai Den Haag Ypenburg,Laan van Waalhaven 365 ,2497 GM 's-Gravenhage,070-3073965,info@preuninger.nl,www.preuninger.nl,https://www.bovag.nl/Leden/DAVO-Hyundai-Den-Haag-Ypenburg,[]
ScooterCentrum Ypenburg,Laan van Waalhaven 337 ,2497 GM 's-Gravenhage,070-3191890,charlievdgeest@gmail.com,www.scooterypenburg.nl,https://www.bovag.nl/Leden/ScooterCentrum-Ypenburg,[]
Autorijschool-Atlas,Waterbiesweg 21 ,2548 XA 's-Gravenhage,06-45090621,faridkazimi@hotmail.com,https://www.rijbewijsgrantie.nu,https://www.bovag.nl/Leden/Autorijschool-Atlas,[]
Mercedes-Benz Dealer Bedrijven B.V.,Donau 42 ,2491 BA 's-Gravenhage,070-3400300,info-mbdb@daimler.com,www.mbdb.nl,https://www.bovag.nl/Leden/Mercedes-Benz-Dealer-Bedrijven-B-V,[]
Dusseldorp Den Haag B.V.,Donau 38 ,2491 BA 's-Gravenhage,070-3017170,denhaag@dusseldorpbmw.nl,www.dusseldorpbmw.nl,https://www.bovag.nl/Leden/Dusseldorp-Den-Haag-B-V,[]
Niham Den Haag B.V.,Tiber 1 ,2491 DL 's-Gravenhage,070-3153333,info@niham.com,www.niham.com,https://www.bovag.nl/Leden/Niham-Den-Haag-B-V,[]
Carmen Lease,Tiber 1 ,2491 DL 's-Gravenhage,070-2189949,info@carmenlease.com,www.carmenlease.com,https://www.bovag.nl/Leden/Carmen-Lease,[]
R.C. Struik t.h.o.d.n. Autotaalglas Rijswijk,Patrijsweg 72 ,2289 EX Rijswijk ZH,070-3192805,rys@autotaalglas.nl,www.autotaalglas.nl,https://www.bovag.nl/Leden/R-C-Struik-t-h-o-d-n-Autotaalglas-Rijswijk,[]
Zeeuw & Zeeuw Renault Leidschendam,Looierslaan 30 ,2264 AA Leidschendam,070-3273459,info.renault-leidschendam@zeeuwenzeeuw.nl,www.zeeuwenzeeuw.nl,https://www.bovag.nl/Leden/Zeeuw-Zeeuw-Renault-Leidschendam,[]
Bens Techniek,Molenweer 10 ,2291 NR Wateringen,0174-295103,ben_edwardsvanmuijen@hotmail.com,,https://www.bovag.nl/Leden/Bens-Techniek,[]
Louwman Dealerbedrijven - Lexus Den Haag,Donau 36 ,2491 BA 's-Gravenhage,070-3491800,lexus.denhaag@louwman.nl,https://www.louwman.nl/autobedrijven,https://www.bovag.nl/Leden/Louwman-Dealerbedrijven-Lexus-Den-Haag,[]
Allround Autobedr. A S Romijn B.V.,Neckar 7 ,2491 BE 's-Gravenhage,070-3012442,info@romijngroep.nl,www.romijngroep.nl,https://www.bovag.nl/Leden/Allround-Autobedr-A-S-Romijn-B-V,[]
Autobedrijf Weerheim VOF,Haantje 17 ,2288 CV Rijswijk ZH,015-2146328,info@autobedrijfweerheim.nl,www.autobedrijfweerheim.nl,https://www.bovag.nl/Leden/Autobedrijf-Weerheim-VOF,[]
Autobedrijf Tinga & Zn,Schipluidenseweg 6 ,2291 PC Wateringen,0174-221122,info@autotinga.nl,www.tinga-autos.nl,https://www.bovag.nl/Leden/Autobedrijf-Tinga-Zn,[]
Baaf Automotive B.V.,Vrijenbanselaan 33 ,2612 CL Delft,015-2159696,baafautomotive@gmail.com,www.baafautomotive.nl,https://www.bovag.nl/Leden/Baaf-Automotive-B-V,[]
Auto Ypenburg BV,Henricuskade 35 ,2497 NB 's-Gravenhage,0152-120978,info@auto-ypenburg.nl,www.auto-ypenburg.nl,https://www.bovag.nl/Leden/Auto-Ypenburg-BV,[]
Autobedrijf Houtwijk,'s-Gravenzandseweg 68 B,2291 PE Wateringen,0174-298986,info@autohoutwijk.nl,www.autohoutwijk.nl,https://www.bovag.nl/Leden/Autobedrijf-Houtwijk,[]
Van Vliet Caravans B.V.,Middenweg 16 ,2291 HX Wateringen,0174-293910,info@caravanstallingvanvliet.nl,www.caravanstallingvanvliet.nl,https://www.bovag.nl/Leden/Van-Vliet-Caravans-B-V-(1),[]
Berry's Wielershop,Brigantijnlaan 423 ,2496 ZT 's-Gravenhage,070-3212363,directie@berryswielershop.nl,www.berryswielershop.nl,https://www.bovag.nl/Leden/Berry-s-Wielershop,[]
Motorhuis Forepark,Rhone 18 ,2491 AP 's-Gravenhage,070-3471747,forepark@motorhuis.nl,www.haeghstad.nl,https://www.bovag.nl/Leden/Motorhuis-Forepark,[]
Autobedrijf Duindam B.V.,Heulweg 54 B,2295 KH Kwintsheul,0174-293661,info.peugeot@duindam.nl,www.duindam.nl,https://www.bovag.nl/Leden/Autobedrijf-Duindam-B-V,[]
Autobedrijf W. van der Ende,Nieuweweg 57 ,2685 AS Poeldijk,0174-245671,info@autobedrijf-wvanderende.nl,www.autobedrijf-wvanderende.nl,https://www.bovag.nl/Leden/Autobedrijf-W-van-der-Ende,[]
Giel Caravan Import V.O.F.,Nieuweweg 57 C,2685 AS Poeldijk,0174-287900,info@giel-caravan.nl,www.giel-caravan.nl,https://www.bovag.nl/Leden/Giel-Caravan-Import-V-O-F,[]
Wittebrug,Donau 120 ,2491 BC 's-Gravenhage,070-3429473,JHogendoorn@rivagroep.nl,www.wittebrug.nl,https://www.bovag.nl/Leden/Wittebrug-(1),[]
DAVO Autobedrijven,Donau 120 ,2491 BC 's-Gravenhage,070-8502000,info@peugeotdavo.nl,www.peugeotdavo.nl,https://www.bovag.nl/Leden/DAVO-Autobedrijven,[]
Zeeuw & Zeeuw Nissan Wateringen,'s-Gravenzandseweg 14 ,2291 PE Wateringen,0174-638060,j.beekhuis@zeeuwenzeeuw.nl,www.zeeuwenzeeuw.nl,https://www.bovag.nl/Leden/Zeeuw-Zeeuw-Nissan-Wateringen,[]
Autobedrijf Sprinkhuizen,Kerkweg 49 ,2631 CC Nootdorp,015-3109651,info@autobedrijfsprinkhuizen.nl,www.autobedrijfsprinkhuizen.nl,https://www.bovag.nl/Leden/Autobedrijf-Sprinkhuizen,[]
Autorijschool Sharief,Antonius Heggelaan 5 ,2493 CE 's-Gravenhage,070-4445089,sharief.autorijschool@planet.nl,,https://www.bovag.nl/Leden/Autorijschool-Sharief,[]
SternPoint Wateringen,De Lierseweg 13 ,2291 PD Wateringen,0174-291620,wateringen.schadeherstel@stern.nl,www.stern.nl,https://www.bovag.nl/Leden/SternPoint-Wateringen-(1),[]
Auto Fock,Oude Trambaan 40 ,2265 DA Leidschendam,070-3209383,info@autofock.nl,www.autofock.nl,https://www.bovag.nl/Leden/Auto-Fock,[]
